Title,Price
20-09- Pusiau automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-230 (naujos),0
21-14 Kaltavimo staklės HOLZMANN LBM250P (naujos),1 €
21-32-051 Hidraulinis vežimėlis su pakeliamu staleliu NH LB150,1 €
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-360 (naujos),1 €
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-450DJK (naujos),0
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-480DJK (naujos),0
20-29-556 Plačiajuostės šlifavimo staklės su obliavimo velenu WOODLAND MACHINERY (naujos),26 000 €
21-32-045 NH Aukšto pakėlimo padėklų vežimėlis (naujas),1 €
21-21-039 Siurblys NH SC – 101,1 €
20-70-554-1 Frezavimo staklės su slankiojančiuoju staliuku ir padavimo–prispaudimo mechanizmu (naujos),3 060 €
20-70-554-2 Frezavimo staklės su slankiojančiuoju staliuku ir padavimo–prispaudimo mechanizmu(naujos),3 190 €
20-70-555-1 Frezavimo staklės su padavimo–prispaudimo mechanizmu (naujos),2 360 €
20-70-555-2 Frezavimo staklės su padavimo–prispaudimo mechanizmu (naujos),2 490 €
20-90-541    Daugiavelenės gręžimo staklės WOODLAND MACHINERY (naujos),999 €
21-09- Kampų užapvalinimo staklės WOODLAND MACHINERY  (naujos),299 €
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-450J (naujos),0
20-75- CNC apdirbimo centras WOODLAND MACHINERY  (naujas),9 600 €
21-15- Patalpų drėkinimo įrenginys (naudotas),250 €
20-28-Optimizuojančios skersinio pjovimo staklės WOODLAND MACHINERY (naujos),31 000 €
21-26- Trijų dalių mechaninis presas (naudotas),1 100 €
20-29-557   Briaunų šlifavimo staklės (naujos),1 349 €
20-29-558 Šepetinės šlifavimo staklės WOODLAND MACHINERY (naujos),16 500 €
20-75- CNC su įrankių keitikliu WOODLAND MACHINERY  (naujas),24 500 €
20-15- Mediedos džiovykla Termolegno (nauja),0
21-32- RBO viejų dalių ritininis transporteris (renovuotas),4 500 €
20-75- CNC maršrutizatorius WOODLAND MACHINERY  (naujas),21 300 €
21-32-..NH  Pakėlimo stalas HIW3000 (naujas),2 300 €
21-11-093 Šlifavimo juostų plovimo mašina NETEK,435 €
21-12- Juostinis siaurapjūklis NP HANSENS (naudotas),1 150 €
